Date,Open,High,Low,Close,Volume
1/7/2000,41.63280106,43.9375,38.6875,41,257382200
1/14/2000,42.875,53.3125,42.0625,51.53120041,516969800
1/21/2000,50.14839935,52.875,47.71879959,48.96879959,273228800
1/28/2000,51.11719894,52.4375,46.53120041,47,290934400
2/4/2000,46.8125,54.125,46.4375,52.375,280665000
2/11/2000,52.46879959,55.03120041,51.59379959,52.9375,200744200
2/18/2000,53.15620041,56.4375,52.59379959,52.6875,242235200
2/25/2000,52.4375,58.25,50.78120041,56.625,218284800
3/3/2000,55.8125,59.875,54.125,59.625,203404200
3/10/2000,59,60.3125,56,60.09379959,196222000
3/17/2000,59.40620041,65,58.90620041,64.9375,288945600
3/24/2000,64.96880341,72.6875,64.96880341,69.53119659,262579600
3/31/2000,69.8125,71.875,61.53120041,65.96880341,272075200
4/7/2000,65.6875,68.5,59.5,68.40619659,306019400
4/14/2000,68.75,69.53119659,54.1875,55.25,320313200
4/20/2000,55,65.5,54.78120041,57.6875,320608200
4/28/2000,55.5,64.53119659,55.1875,63.40620041,262659400
5/5/2000,63.96879959,65.5,57.9375,61.6875,220452000
5/12/2000,61.125,61.34379959,52.5625,57.5,289892200
5/19/2000,57.28120041,63.25,56.375,58.9375,273226400
5/26/2000,58.75,61.125,54.75,58.78120041,266486800
6/2/2000,59.625,67.28119659,59.5625,67.09380341,184493400
6/9/2000,66.3125,67.53119659,62.75,63.53120041,188267800
6/16/2000,63.90620041,65.92970276,62.0625,63.03120041,179579600
6/23/2000,64.21880341,70.125,64.1875,67.1875,212709800
6/30/2000,67.90619659,68.60150146,64.8125,66.84380341,182474400
7/7/2000,67.0625,69.9375,65.28119659,69.65619659,139282000
7/14/2000,68.875,73.53119659,68.5,73.34380341,186603400
7/21/2000,73.3125,73.75,68.9375,69.09380341,262027000
7/28/2000,69.09380341,71,64.375,64.5625,210758600
8/4/2000,65.4375,67.5625,60.4375,62.5625,158579400
8/11/2000,62.625,64.875,60.8125,63.8125,124794400
8/18/2000,64.4375,72.9375,63.625,70.5625,161031900
8/25/2000,72.67189789,74.875,70.5625,72.9375,158092700
9/1/2000,73.25,75.8125,72.75,73.9375,134406700
9/8/2000,71.0625,71.375,64.9375,65.375,185139100
9/15/2000,65.5625,66.9375,56.625,57.5155983,255738600
9/22/2000,58.375,63.5,46.5,47.9375,546254800
9/29/2000,50.0625,50.2030983,41.375,41.5625,462986000
10/6/2000,42.9375,42.9375,39.25,39.9375,333529800
10/13/2000,40.4375,40.75,35,40.375,428625600
10/20/2000,39.125,44.375,35,43.0625,416498300
10/27/2000,43.6875,47,41.1405983,46.375,244921100
11/3/2000,45.9530983,47.875,43.875,45.9375,249177400
11/10/2000,46.625,47.375,37,37,226642400
11/17/2000,37,42.9375,36,41.5,252543300
11/24/2000,41,44,40.625,43.9375,131643400
12/1/2000,45.4375,46.75,33.8125,34.125,349029200
12/8/2000,35.125,36.5,31.25,34,416122200
12/15/2000,35.125,38.1875,32.3125,32.4375,284509900
12/22/2000,34.1875,36.25,31.5,32.9375,253469100
12/29/2000,33.125,33.875,29.8125,30.0625,165530500
1/5/2001,30.6875,35.375,30.125,32.0625,242377700
1/12/2001,31.5,34.25,30.625,32.125,253720000
1/19/2001,32.1875,34.625,30,33.5625,340573700
1/26/2001,32.6875,37.0625,32.5,35.875,297898700
2/2/2001,35.25,38.59379959,34.75,35.6875,279244800
2/9/2001,35.0625,36.125,33.4375,33.5,222449000
2/16/2001,33.6875,36.5,31.9375,34.375,219714900
2/23/2001,34.0625,34.125,28.5,29.9375,226065700
3/2/2001,30.5625,31.125,27.0625,29.3125,260675300
3/9/2001,29.875,33.6875,29,29.4375,331012500
3/16/2001,28.5,29.9375,27.5625,27.875,268909000
3/23/2001,27.5,29.75,24.5625,28.8125,388709300
3/30/2001,29.5,29.7031002,25.3125,26.3125,322347200
4/6/2001,26.0625,26.875,22.4375,23.625,328458700
4/12/2001,23.69000053,28.51000023,22.25,28.12000084,261790500
