Date,Open,High,Low,Close,Volume
1/7/2000,26.66679955,27.62509918,24.16679955,27.62509918,14548875
1/14/2000,28.00009918,31.33349991,26.41679955,30.25009918,12506483
1/21/2000,29.91679955,31.91679955,29.00009918,30.54179955,10056997
1/28/2000,30.45849991,30.50009918,26.08349991,28.00009918,20436047
2/4/2000,28.04179955,29.91679955,28.00009918,28.33349991,9266052
2/11/2000,28.25009918,30.62509918,27.62509918,28.41679955,9113052
2/18/2000,28.66679955,32.41680145,28.41679955,30.41679955,11443591
2/25/2000,30.45849991,34.25019836,29.12509918,31.70849991,10778795
3/3/2000,31.75009918,34.25019836,30.87509918,32.62509918,13566980
3/10/2000,32.25009918,34.62519836,30.79179955,33.91690063,9152051
3/17/2000,33.29180145,34.62519836,30.12509918,33.79190063,15148124
3/24/2000,33.37519836,36.62519836,33.16680145,34.33349991,17022362
3/31/2000,34.29190063,36.57310104,33.83349991,34.91690063,13986079
4/7/2000,34.83349991,35.91690063,31.12509918,34.25019836,20046947
4/14/2000,34.04190063,36.79190063,31.25009918,31.87509918,18277106
4/20/2000,31.66679955,35.33349991,31.66679955,33.83349991,11989139
4/28/2000,33.52099991,37.00019836,33.25019836,35.08349991,14575274
5/5/2000,35.29190063,38.25019836,29.29179955,31.58349991,16688313
5/12/2000,31.33349991,32.75009918,29.50009918,31.58349991,8724555
5/19/2000,31.45849991,32.70849991,30.00009918,30.16679955,7249313
5/26/2000,30.37509918,34.875,28.66679955,34.5,14352734
6/2/2000,34.875,40.5,34.5,38,12314200
6/9/2000,37.875,39.6875,35.625,37.3125,7257800
6/16/2000,35.75,43.25,35.4375,42.0625,14357400
6/23/2000,41.25,44.25,36.75,37.8125,12672900
6/30/2000,39,42,38.0625,42,10900900
7/7/2000,41.3125,42.9375,40.125,41.75,6303900
7/14/2000,41.625,44,41.5625,42.625,9694200
7/21/2000,42.625,45.4375,41.5,43.25,7954600
7/28/2000,43.75,46.1875,43.0625,43.25,8679600
8/4/2000,43.8125,46.3125,43.25,45.625,8468400
8/11/2000,45.75,47.625,44.5,45.0625,9023900
8/18/2000,44.3125,45,43.0625,44.1875,6218100
8/25/2000,44.1875,46.0625,42.4375,42.875,6829100
9/1/2000,43,45.375,39.875,43.75,12392200
9/8/2000,43.75,44.5,40.5,41.625,4498400
9/15/2000,41.5,44.8125,41.25,44.125,7780000
9/22/2000,44.125,47.5,42.625,47,9008000
9/29/2000,47.125,55.9375,46.75,52.5,14702000
10/6/2000,52.875,53.75,50.375,50.9375,11826200
10/13/2000,51.0625,52.75,47.25,47.875,13798400
10/20/2000,48.5,51.875,47.625,50,10763000
10/27/2000,50.5,55.625,49.625,53.6875,12942700
11/3/2000,53.9375,61,53.0625,55.0625,15768300
11/10/2000,55.1875,57.3125,53.5,55.1875,9371300
11/17/2000,55,58.6875,54.75,55.9375,9196600
11/24/2000,55.875,61.25,55.75,58.9375,8994700
12/1/2000,59.25,60,51.375,52.5625,17675000
12/8/2000,50.9375,51,43.25,46.875,29414000
12/15/2000,44.8125,45.75,36.75,39,23904200
12/22/2000,39.9375,50.75,39.375,50.5625,15743500
12/29/2000,49.8125,52.8125,48.5625,48.625,7462800
1/5/2001,49.6875,51,43.875,44.6875,14336500
1/12/2001,44.9375,50.25,44.8125,48.5,11374600
